"","Species_1","Species_2","Species_3","Species_4","Species_5","Species_6","Species_7","Species_8","Species_9","Species_10","Species_11","Species_12","Species_13","Species_14","Species_15","Species_16","Species_17","Species_18","Species_19","Species_20"
"Site_1",0.0119401784856944,0.101305837514024,0.0559993586927222,0.0869247166928328,0.0189506696927745,0.033263767698244,0.246652540500859,0.0359407732462742,0.0126504670359149,0.0129856231785989,0.0120130816067764,0.0118298549083816,0.0134691974086969,0.0237248567746051,0.0032936732833893,0.0350420920327982,0.0341739358722774,0.224604542334029,0.00652107634294531,0.0187137566981619
"Site_2",0.041275972340123,0.0507281234175578,0.0750964677449613,0.0309957313174953,0.0266629655040403,0.0186269755727439,0.0330293718009788,0.0168894774512372,0.0300078378074279,0.114950894048373,0.0358288378634255,0.0216497193767271,0.131588028785962,0.0190628751972268,0.111410383792336,0.0337195365913411,0.027058200549684,0.0381848786659971,0.0918845403755701,0.0513491817967914
"Site_3",0.0138027223260692,0.0171029997924327,0.0342970532186398,0.0469069600650892,0.0639088487909487,0.0447733970210409,0.0634488340162955,0.0586284930897632,0.103397569055483,0.101585120314138,0.0128016338405223,0.133323258410638,0.0256852024668417,0.0541626007796939,0.00602261782175402,0.0231599867495751,0.0917417444217723,0.050274262214145,0.0396630196564971,0.0153136759486604
"Site_4",0.229361519869194,0.00508003808598759,0.0063640626197931,0.0440891449280964,0.0811810499275653,0.0150391311850348,0.0478475925769643,0.0182820739527694,0.0101396334191473,0.0937125665984288,0.054491646701266,0.0242719725742306,0.0388793054673286,0.0101922187773465,0.0292678090411843,0.0183688537349181,0.11289309368931,0.0430716802606159,0.0107270503019591,0.10673955628886
"Site_5",0.0532239151998744,0.11791110292456,0.071152524497533,0.00965948660687417,0.0192256315018898,0.160456641403554,0.0182055564779108,0.0109284191436848,0.0693347514883434,0.187135604516186,0.0198939449873045,0.0311128001144496,0.0346330807430949,0.0520163409442868,0.0125419616239308,0.008649830688885,0.0206096004629652,0.0274125027753472,0.0644585769719466,0.0114377269273786
"Site_6",0.0118093564329309,0.0256470078149948,0.0253614874163209,0.0177141889873186,0.0132217785805259,0.194369389449234,0.0323998184360036,0.0359024936813765,0.037423950630774,0.0468919934255973,0.157063124090658,0.0181115995114932,0.0547089232311827,0.00577137697504053,0.012661191381446,0.00915379202892051,0.243584275675868,0.0259101424161546,0.0228878434232095,0.009406266410951
"Site_7",0.0439997028788935,0.0265907541126839,0.0231260184152979,0.0182189794019866,0.0389132881839252,0.0187188746098667,0.00444506814618462,0.0173477350897877,0.0782456835807091,0.00753954337813142,0.0553380814160993,0.019624150187165,0.0251080729170758,0.0200009085871167,0.217874753910918,0.0734630554145742,0.020941373565214,0.0594058932461051,0.116902603649914,0.11419545930835
"Site_8",0.0689245549867679,0.0846499066633451,0.00756804979477262,0.0310430328569925,0.0710384102211769,0.0115947588062258,0.142628401455036,0.0329764327389161,0.0243006687766457,0.0185676790004112,0.0818478490882515,0.0249176027709137,0.0317233697007158,0.0194220280970039,0.0335180270492152,0.0176974595402292,0.0079263539061288,0.262416465291871,0.0153115247375875,0.0119274245177943
"Site_9",0.0717074079325258,0.091655217771359,0.0249946712950713,0.121126818200832,0.0360341282710574,0.0712740521702581,0.046996167097721,0.0434301557691534,0.0583717195915763,0.011848485981711,0.059204530453152,0.0660889155278988,0.0203921950143369,0.0210041057050753,0.0111396651826054,0.0100984895350265,0.0348974271934696,0.112640929893717,0.0262220577423396,0.0608728596711132
"Site_10",0.0179802989924859,0.0441929982742051,0.0370625344189902,0.0523441819544562,0.058895976150048,0.0213192504457596,0.214278531025954,0.0135331752798696,0.0318731459656802,0.0151995285176087,0.1312155152178,0.0204367461625115,0.0176439821926797,0.0230523626986477,0.0047306353209682,0.158215126592491,0.0300301952697846,0.0816607478234402,0.00966542947569526,0.0166696382209247
