"iSpline(gmap, degree = 2, df = 5, intercept = TRUE)1","iSpline(gmap, degree = 2, df = 5, intercept = TRUE)2","iSpline(gmap, degree = 2, df = 5, intercept = TRUE)3","iSpline(gmap, degree = 2, df = 5, intercept = TRUE)4","iSpline(gmap, degree = 2, df = 5, intercept = TRUE)5","iSpline(RFL_CONC, degree = 2, df = 5, intercept = TRUE)1","iSpline(RFL_CONC, degree = 2, df = 5, intercept = TRUE)2","iSpline(RFL_CONC, degree = 2, df = 5, intercept = TRUE)3","iSpline(RFL_CONC, degree = 2, df = 5, intercept = TRUE)4","iSpline(RFL_CONC, degree = 2, df = 5, intercept = TRUE)5","iSpline(Elevation30m, degree = 2, df = 5, intercept = TRUE)1","iSpline(Elevation30m, degree = 2, df = 5, intercept = TRUE)2","iSpline(Elevation30m, degree = 2, df = 5, intercept = TRUE)3","iSpline(Elevation30m, degree = 2, df = 5, intercept = TRUE)4","iSpline(Elevation30m, degree = 2, df = 5, intercept = TRUE)5","iSpline(HeatLoadIndex30m, degree = 2, df = 5, intercept = TRUE)1","iSpline(HeatLoadIndex30m, degree = 2, df = 5, intercept = TRUE)2","iSpline(HeatLoadIndex30m, degree = 2, df = 5, intercept = TRUE)3","iSpline(HeatLoadIndex30m, degree = 2, df = 5, intercept = TRUE)4","iSpline(HeatLoadIndex30m, degree = 2, df = 5, intercept = TRUE)5","iSpline(tmean13c, degree = 2, df = 5, intercept = TRUE)1","iSpline(tmean13c, degree = 2, df = 5, intercept = TRUE)2","iSpline(tmean13c, degree = 2, df = 5, intercept = TRUE)3","iSpline(tmean13c, degree = 2, df = 5, intercept = TRUE)4","iSpline(tmean13c, degree = 2, df = 5, intercept = TRUE)5","iSpline(SoilConductivitymSm, degree = 2, df = 5, intercept = TRUE)1","iSpline(SoilConductivitymSm, degree = 2, df = 5, intercept = TRUE)2","iSpline(SoilConductivitymSm, degree = 2, df = 5, intercept = TRUE)3","iSpline(SoilConductivitymSm, degree = 2, df = 5, intercept = TRUE)4","iSpline(SoilConductivitymSm, degree = 2, df = 5, intercept = TRUE)5","iSpline(SoilTotalNPercent, degree = 2, df = 5, intercept = TRUE)1","iSpline(SoilTotalNPercent, degree = 2, df = 5, intercept = TRUE)2","iSpline(SoilTotalNPercent, degree = 2, df = 5, intercept = TRUE)3","iSpline(SoilTotalNPercent, degree = 2, df = 5, intercept = TRUE)4","iSpline(SoilTotalNPercent, degree = 2, df = 5, intercept = TRUE)5"
1,1,0.738522929584382,0.11618564158459,0.00364132908511607,1,1,0.977727630862076,0.718245479605206,0.240056573524358,0.996545901618725,0.780787006813594,0.198798166844163,0,0,1,0.999437734277385,0.758092654335408,0.00166493236212279,0,1,1,0.775017012865168,0.158753151751233,2.54430016115755e-05,1,0.980348508373742,0.285018595254546,0.00466284735848771,0,1,1,0.502831151579286,0.0522303334696252,8.17990741448199e-05
0.999602457765113,0.940546236084952,0.293673695893452,0,0,1,1,0.589273542600897,0.020736,0,1,0.987791417716948,0.566674123998397,0.0182478199937715,0,1,0.998667221990837,0.734872263161248,0.000208116545265349,0,1,0.987023869271404,0.522475177869172,0.0228223862607445,0,1,0.99982328181111,0.429027620602931,0.0242419427371735,0,1,1,0.434599552732769,0.0305213964717311,3.44535815033097e-09
1,1,1,1,1,1,1,0.984357403294078,0.76981572958337,0.292161989415882,0.999076452805453,0.831393560570599,0.239027921242381,0,0,1,0.999437734277385,0.758092654335408,0.00166493236212279,0,1,1,0.775017012865168,0.158753151751233,2.54430016115755e-05,0.99353444854836,0.657548255812753,0.0625456965029738,0,0,0.960150473434177,0.466480722666227,0.0262943725020647,0,0
1,0.9970281858003,0.463965793007365,0.00180610983481762,0,1,1,0.589273542600897,0.020736,0,1,0.9201489676324,0.348225442884566,2.21460950205899e-05,0,1,0.999833402748855,0.780984943405042,0.00561914672216441,0,1,1,0.79485619643505,0.182232602119034,0.000203538211965375,1,0.98853030691969,0.314733377700581,0.00712711054129339,0,1,0.978924030489872,0.259495139122177,0.0045735480943939,0
1,0.999986241600927,0.551595981269539,0.01256677924887,0,1,1,0.589273542600897,0.020736,0,1,0.994366945458618,0.625262801706622,0.0342335861535002,0,0.999998756770937,0.995524998279661,0.68902149829755,0,0,1,0.969241666797659,0.438575849369357,0.00877912573491846,0,1,1,0.838306093938085,0.34420651915539,0.0355201036189683,0.999824245893611,0.746065576101278,0.0774856732706156,0,0
1,0.999410108639759,0.508250455643914,0.00555809608070095,0,1,1,0.589273542600897,0.020736,0,1,0.999715251725176,0.742615574435341,0.095029239766082,0,0.986762096929597,0.836333285322737,0.316697282450962,0,0,0.999777385707808,0.810833488901208,0.195783347031103,0,0,1,0.838180193618981,0.123812379266014,8.84738553470182e-07,0,0.993894877947334,0.629944661689646,0.050276281027862,0,0
1,1,0.72645661807673,0.104629185555547,0.00280475058581567,0.859060637999473,0.411027073415209,0.0409547845734861,0,0,1,1,0.938172746304558,0.464044885212468,0.0332088192419825,0.999920433339922,0.986298765366822,0.623791295914828,0,0,0.990455489941966,0.665392173190103,0.115507627887282,0,0,1,1,0.734320732200634,0.199540800817017,0.00898301186900839,1,1,0.763476026427379,0.245563942176282,0.0162396818867825
1,1,0.667554905264402,0.0593850673962874,0.000578703703703704,0.97667638483965,0.725114659419059,0.135302304004948,0,0,1,1,0.847934092941305,0.219167032864892,0.000593415814175398,1,1,0.843662450972545,0.0446573157891496,5.68957669549386e-05,0.998219098351399,0.756872114474516,0.160281991461115,0,0,1,1,0.766834656319585,0.237424841236627,0.0141034958470096,1,0.959215369547502,0.218360354187966,0.00222126697936382,0
1,0.99995356540313,0.543061017790281,0.010855656407619,0,0.97667638483965,0.725114659419059,0.135302304004948,0,0,1,1,0.809512727748823,0.161069695310541,2.00277837284197e-06,1,0.999979175343607,0.803138206375162,0.0133194588969823,0,1,0.857600579807491,0.236174389534404,0,0,1,1,0.570516002144061,0.0741125193370155,0.000348085222712901,0.999969160363555,0.766203918978836,0.0837169684890183,0,0
1,0.999410108639759,0.508250455643914,0.00555809608070095,0,1,0.990929283921258,0.430478239953267,0.000444444444444444,0,0.706921955255316,0.190097724576548,0.012302964580659,0,0,1,0.999979175343607,0.803138206375162,0.0133194588969823,0,1,1,0.998647732110919,0.946815254495407,0.558517949449851,1,1,0.768342747457404,0.239321870170054,0.0143924019695009,0.883719306207513,0.314067559212826,0.012356600505393,0,0
