"gmap","RFL_CONC","Elevation30m","HeatLoadIndex30m","tmean13c","SoilConductivitymSm","SoilTotalNPercent"
255,43.4,768,215,17.20000076,34.11567307,0.126553819
198,30.1,1022,214,16.20000076,39.95227051,0.118855298
387,44.3,805,215,17.20000076,22.21590042,0.064659141
219,30.1,888,216,17.29999924,35.32637405,0.100726008
229,30.1,1057,212,15.89999962,64.09658051,0.077641219
224,30.1,1132,191,14.89999962,26.60407829,0.071878642
253,16.3,1329,209,14.39999962,55.78413391,0.165107459
244,20.9,1216,219,14.69999981,58.10430145,0.096331827
228,20.9,1182,217,15.10000038,46.32350159,0.078762121
224,27.5,415,217,19.89999962,58.21701813,0.057997543
202,27.5,394,213,19.89999962,57.59579849,0.061086502
202,27.5,392,217,19.89999962,57.59579849,0.061086502
216,30.1,850,216,17.39999962,54.5735817,0.105275698
198,30.1,1052,208,16.20000076,64.09658051,0.077641219
117,27.5,396,219,19.60000038,41.48771667,0.076146521
176,27.5,449,214,19.20000076,48.56225204,0.060087644
224,27.5,439,216,19.39999962,36.53829193,0.06805966
206,27.5,425,216,19.79999924,44.28024292,0.060873687
143,27.5,401,214,20,40.83544159,0.055984829
140,27.5,359,214,19.89999962,32.30290604,0.066023871
223,35.3,421,197,19.89999962,16.31515694,0.065458454
214,30.1,906,216,17.39999962,42.14774323,0.093657583
209,30.1,1047,215,16.20000076,64.09658051,0.077641219
278,36.4,544,218,19.70000076,34.03996277,0.060294144
193,27.5,446,215,20,47.11343002,0.076614305
201,27.4,412,215,19.89999962,35.51200104,0.078029573
137,27.4,448,219,19.20000076,38.46165848,0.061960608
120,27.4,450,215,18.60000038,49.83134079,0.068217181
199,24.2,499,217,18.5,22.4518795,0.094656691
199,24.5,522,205,18.10000038,23.70763969,0.090365253
216,35.2,906,217,17.29999924,41.97841263,0.10080573
209,30.1,1050,219,16.20000076,64.09658051,0.077641219
201,20.9,908,216,15.19999981,7.645504475,0.100350372
235,15.3,1104,220,14.5,7.006481171,0.137282982
220,24.5,1080,229,13.30000019,10.64356232,0.125708207
209,35.2,759,205,17.70000076,52.71474457,0.134339631
229,30.1,1040,210,15.89999962,68.8274765,0.077793866
290,13.5,1195,219,14.80000019,26.86166382,0.17352353
282,13.5,1237,220,14.60000038,22.23164558,0.171657577
273,13.5,1269,208,14.69999981,19.29860306,0.138822362
274,13.5,1291,208,14.5,20.81094742,0.135843322
299,13.5,1323,204,14.5,15.83859062,0.140004486
300,35.3,1373,215,13.80000019,17.97650909,0.138979271
194,35.2,641,237,18.5,33.6413002,0.089212544
229,30.1,1040,210,15.89999962,68.8274765,0.077793866
261,35.3,1205,219,14.39999962,43.42948532,0.130443811
216,20.9,1171,220,14.39999962,39.32855988,0.087747015
287,20.9,1235,196,14.39999962,23.71563911,0.079160005
287,31.8,1275,239,14.39999962,13.58638382,0.125046745
269,31.8,1201,220,15,15.46493816,0.125104338
223,20.9,1247,224,14.80000019,21.73346901,0.102892369
199,20.9,1140,219,14.60000038,41.98753738,0.118461549
225,20.9,1064,215,15.80000019,53.85789871,0.118785873
200,30.1,901,218,17,86.17098236,0.126278535
205,35.2,627,219,17.70000076,29.1660347,0.087562211
229,30.1,1048,210,15.89999962,34.91203308,0.115943365
227,51,785,223,17,31.4887104,0.099089459
228,51,782,219,17.29999924,43.09955215,0.091356099
194,39,626,215,19,17.03190804,0.037978802
166,39,534,216,19.60000038,14.67742634,0.040763151
144,39,488,213,19.70000076,25.82026291,0.05478096
150,39,494,220,19.79999924,31.11774635,0.05691034
150,39,494,217,19.79999924,27.30306435,0.054037102
145,39,437,209,19.79999924,34.30245972,0.065526769
201,35.2,584,215,18.10000038,45.19386292,0.063767381
229,30.1,1055,215,15.89999962,34.91203308,0.115943365
145,31.8,444,218,19.79999924,41.54481506,0.058831476
204,31.8,490,215,19.60000038,49.23440552,0.052038714
221,31.8,585,212,19.5,51.58148956,0.053920679
240,35.3,564,211,19.70000076,30.1238575,0.076544464
226,35.3,617,215,19.5,55.97517014,0.058328342
228,35.2,614,213,17.79999924,33.86187744,0.112865426
229,30.1,1045,214,15.89999962,34.91203308,0.115943365
218,31.8,744,217,18.70000076,33.46379089,0.117489964
223,31.8,940,193,17.20000076,16.12415123,0.077048086
208,31.8,1067,222,15.89999962,65.65031433,0.118521385
208,31.8,1077,215,15.89999962,69.93435669,0.119334549
241,20.9,1065,219,15.39999962,48.1174469,0.124385841
241,20.9,1130,209,15.39999962,21.58974648,0.092863753
243,35.2,698,226,17.5,30.09844971,0.126256451
229,30.1,1051,214,15.89999962,59.27320862,0.075688027
247,20.9,1188,194,15.30000019,29.85402489,0.099788807
263,20.9,1175,227,15.19999981,29.85402489,0.099788807
255,20.9,1138,217,15.19999981,37.65870285,0.094355218
294,20.9,1176,230,15.10000038,29.83657074,0.084383242
305,20.9,1223,223,15,51.41283798,0.117456101
305,20.9,1252,223,15,33.6819191,0.087576896
298,20.9,1250,213,15,31.52122879,0.078358278
281,20.9,1274,204,14.89999962,27.84192085,0.077243663
204,20.9,1173,216,14.89999962,56.11301804,0.081637368
258,43.4,794,216,17.20000076,31.85670853,0.10496299
198,30.1,1034,221,16.20000076,72.66580963,0.076892242
387,44.3,802,220,17.20000076,16.66192245,0.077065334
271,44.3,756,219,17.29999924,26.45841789,0.068998747
208,30.1,1063,220,15.89999962,59.27320862,0.075688027
221,20.9,1130,217,15.39999962,76.58168793,0.07952448
178,20.9,1051,219,15.69999981,55.93246841,0.077843808
187,20.9,1041,217,15.80000019,49.55727386,0.067759044
209,20.9,1076,202,15.80000019,44.1694603,0.12175934
209,20.9,1088,213,15.60000038,31.08882523,0.119583808
212,16.8,1153,216,15.39999962,57.25887299,0.079285808
283,43.4,757,223,17.29999924,28.36606789,0.068808645
