"plot","longitude","latitude"
"HTR_1",19.29291667,-31.49552778
"HTR_1_ak",19.77230556,-31.45022222
"HTR_1_nieu",19.03465,-31.28217
"HTR_10",19.44197222,-31.43983333
"HTR_10_ak",19.77711111,-31.44125
"HTR_100_ak",19.77755556,-31.40775
"HTR_101",20.07105556,-31.79638889
"HTR_102",20.05358333,-31.73122222
"HTR_103",20.01769444,-31.68766667
"HTR_107",20.03194444,-32.34238889
"HTR_108",20.01313889,-32.37947222
"HTR_109",20.01305556,-32.38008333
"HTR_11",19.49883333,-31.44922222
"HTR_11_ak",19.77502778,-31.44177778
"HTR_111",19.81058333,-32.59461111
"HTR_112",19.75802778,-32.65141667
"HTR_113",19.69261111,-32.60125
"HTR_114",19.69163889,-32.56802778
"HTR_116",19.66222222,-32.46063889
"HTR_117",19.70561111,-32.21780556
"HTR_119",19.736,-31.97680556
"HTR_12",19.50583333,-31.41716667
"HTR_12_ak",19.77513889,-31.44252778
"HTR_120",19.87325,-32.02397222
"HTR_121",19.96238889,-32.42083333
"HTR_122",20.03822222,-32.4155
"HTR_123",20.10819444,-32.43813889
"HTR_124",20.13980556,-32.45633333
"HTR_126",20.23936111,-32.51869444
"HTR_127",20.27505556,-32.55941667
"HTR_13",19.52522222,-31.39297222
"HTR_13_ak",19.77516667,-31.44338889
"HTR_130",20.55925,-32.84052778
"HTR_131",20.56094444,-32.88775
"HTR_133",20.57175,-32.55863889
"HTR_14",19.51844444,-31.34736111
"HTR_14_ak",19.78425,-31.43394444
"HTR_144",20.1245,-31.97530556
"HTR_145",20.07858333,-31.97405556
"HTR_146",20.048,-31.976
"HTR_147",20.03988889,-31.97133333
"HTR_148",20.01361111,-31.95183333
"HTR_149",20.01891667,-31.84180556
"HTR_15",19.46138889,-31.30711111
"HTR_15_ak",19.78344444,-31.43402778
"HTR_150",19.96708333,-31.78252778
"HTR_151",19.95872222,-31.74352778
"HTR_152",19.85566667,-31.76602778
"HTR_153",19.842,-31.75991667
"HTR_154",19.85297222,-31.72975
"HTR_155",19.80294444,-31.66180556
"HTR_156",19.79469444,-31.65025
"HTR_157",19.73336111,-31.58005556
"HTR_159",19.54613889,-31.49530556
"HTR_16",19.43186111,-31.317
"HTR_16_ak",19.78533333,-31.43180556
"HTR_160",19.36036111,-31.57383333
"HTR_161",19.35316667,-31.58722222
"HTR_162",19.354,-31.77277778
"HTR_163",19.39258333,-31.81452778
"HTR_165",19.44261111,-31.85286111
"HTR_166",19.47125,-31.86916667
"HTR_167",19.47413889,-31.87197222
"HTR_168",19.49958333,-31.88311111
"HTR_17",19.36977778,-31.30716667
"HTR_17_ak",19.78519444,-31.42966667
"HTR_172",19.57219444,-31.86066667
"HTR_173",19.61175,-31.81861111
"HTR_176",19.70308333,-31.81694444
"HTR_177",19.74752778,-31.87533333
"HTR_178",19.73413889,-31.85002778
"HTR_18",19.31536111,-31.3425
"HTR_18_ak",19.78811111,-31.42919444
"HTR_180",19.74116667,-31.69772222
"HTR_181",19.75511111,-31.67711111
"HTR_182",19.7475,-31.63816667
"HTR_183",19.74863889,-31.62880556
"HTR_188",19.84188889,-31.58358333
"HTR_189",19.85311111,-31.58863889
"HTR_19",19.26736111,-31.35952778
"HTR_19_ak",19.77725,-31.43586111
"HTR_190",19.86094444,-31.59047222
"HTR_191",19.86525,-31.59208333
"HTR_192",19.88022222,-31.60033333
"HTR_194",19.89719444,-31.63769444
"HTR_195",19.89827778,-31.64380556
"HTR_196",19.89702778,-31.65255556
"HTR_197",19.89427778,-31.66411111
"HTR_198",19.89297222,-31.69030556
"HTR_199",19.96702778,-31.72902778
"HTR_2",19.26311111,-31.53433333
"HTR_2_ak",19.77327778,-31.44858333
"HTR_2_nieu",19.03295,-31.28086
"HTR_20",19.22072222,-31.37794444
"HTR_20_ak",19.77405556,-31.43436111
"HTR_201",19.98830556,-31.6475
"HTR_202",19.96216667,-31.57522222
"HTR_203",19.95566667,-31.55313889
"HTR_205",19.94169444,-31.49422222
"HTR_206",19.94858333,-31.48830556
"HTR_208",19.94786111,-31.44311111
"HTR_21",19.20069444,-31.38311111
"HTR_21_ak",19.77119444,-31.43538889
"HTR_210",19.93094444,-31.31297222
"HTR_211",19.93847222,-31.29586111
"HTR_212",19.94627778,-31.18816667
"HTR_213",19.72708333,-31.47041667
"HTR_214",19.68905556,-31.46858333
"HTR_215",19.49525,-31.26233333
"HTR_216",19.48175,-31.25611111
"HTR_217",19.45141667,-31.2255
"HTR_218",19.44958333,-31.16916667
"HTR_219",19.45888889,-31.13063889
"HTR_22",19.18425,-31.38608333
"HTR_22_ak",19.77072222,-31.43547222
"HTR_220",19.46841667,-31.10561111
"HTR_221",19.47158333,-30.98144444
"HTR_223",19.83897222,-30.83419444
"HTR_224",19.75411111,-30.86375
"HTR_225",19.71294444,-30.86388889
"HTR_226",19.63263889,-30.87394444
"HTR_227",19.57252778,-30.91030556
"HTR_228",19.41997222,-30.91258333
"HTR_229",19.42655556,-30.90230556
"HTR_23",19.13230556,-31.36819444
"HTR_23_ak",19.76794444,-31.43458333
"HTR_230",19.44894444,-30.84802778
"HTR_233",19.11272222,-31.32508333
"HTR_234",19.12408333,-31.30119444
"HTR_235",19.16558333,-31.26397222
"HTR_236",19.18208333,-31.25527778
"HTR_237",19.22552778,-31.18222222
"HTR_238",19.22455556,-30.3925
"HTR_239",19.25208333,-30.40402778
"HTR_24",19.13677778,-31.36158333
"HTR_24_ak",19.7685,-31.4355
"HTR_240",19.29722222,-30.48813889
"HTR_241",19.33902778,-30.57683333
"HTR_242",19.38116667,-30.695
"HTR_243",19.68605556,-32.00388889
"HTR_244",19.6665,-32.00913889
"HTR_245",19.58858333,-32.00430556
"HTR_246",19.51661111,-32.00786111
"HTR_25",19.21125,-31.40152778
"HTR_25_ak",19.76541667,-31.43752778
"HTR_252",20.35697222,-32.40913889
"HTR_253",19.84341667,-31.47394444
"HTR_255",19.99816667,-31.58994444
"HTR_256",20.05638889,-31.60430556
"HTR_257",20.10252778,-31.61388889
"HTR_258",20.1175,-31.62302778
"HTR_259",20.20772222,-31.69480556
"HTR_26",19.34294444,-31.48483333
"HTR_26_ak",19.77411111,-31.43022222
"HTR_260",20.26027778,-31.83988889
"HTR_261",20.27363889,-31.93377778
"HTR_262",20.34422222,-31.99475
"HTR_263",20.34613889,-31.99663889
"HTR_264",20.37733333,-32.01375
"HTR_265",20.3875,-32.04527778
"HTR_266",20.38030556,-32.04913889
"HTR_267",20.3815,-32.11333333
"HTR_268",20.42,-32.161
"HTR_269",20.42619444,-32.16613889
"HTR_27",19.38475,-31.49038889
"HTR_27_ak",19.774,-31.42875
"HTR_270",20.47686111,-32.21363889
"HTR_271",20.55338889,-32.23897222
"HTR_272",20.55497222,-32.25038889
"HTR_273",20.55527778,-32.25133333
"HTR_274",20.68286111,-32.27983333
"HTR_275",20.71158333,-32.17738889
"HTR_277",20.52613889,-32.02994444
"HTR_278",20.52941667,-32.04119444
"HTR_279",20.60938889,-32.1625
"HTR_28",19.40772222,-31.5035
"HTR_28_ak",19.77505556,-31.42833333
"HTR_280",20.60647222,-32.18186111
"HTR_281",20.59619444,-32.22680556
"HTR_282",20.66077778,-32.31863889
"HTR_283",20.65813889,-32.41325
"HTR_284",20.65786111,-32.41327778
"HTR_285",20.61138889,-32.44841667
"HTR_286",20.49816667,-32.36819444
"HTR_287",20.49463889,-32.34616667
"HTR_288",20.57094444,-32.45158333
"HTR_289",20.49555556,-32.44833333
"HTR_29",19.12861111,-31.42513889
"HTR_29_ak",19.77744444,-31.42452778
"HTR_290",20.40061111,-32.21469444
"HTR_291",20.43644444,-32.206
"HTR_292",20.39397222,-32.18577778
"HTR_293",20.39969444,-32.15180556
"HTR_298",20.78044444,-32.18586111
"HTR_3",19.25511111,-31.544
"HTR_3_ak",19.77583333,-31.44594444
"HTR_3_nieu",19.04081,-31.27577
"HTR_30",19.17416667,-31.47088889
"HTR_30_ak",19.77961111,-31.42327778
"HTR_303",20.96261111,-32.33858333
"HTR_306",20.88088889,-32.40230556
"HTR_307",20.81333333,-32.41027778
"HTR_308",20.96888889,-32.41147222
"HTR_31",19.18111111,-31.50986111
"HTR_31_ak",19.77677778,-31.41013889
"HTR_310",21.02247222,-32.41161111
"HTR_311",21.12980556,-32.47416667
"HTR_313",21.17811111,-32.46072222
"HTR_314",21.19352778,-32.45477778
"HTR_315",21.20355556,-32.45127778
"HTR_316",21.21513889,-32.42738889
"HTR_318",21.36366667,-32.24475
"HTR_319",21.36286111,-32.23944444
"HTR_32",19.18666667,-31.52880556
"HTR_32_ak",19.77583333,-31.41033333
"HTR_321",21.43036111,-32.09886111
"HTR_322",21.44355556,-32.08566667
"HTR_323",21.74055556,-32.15594444
"HTR_324",21.73252778,-32.11533333
"HTR_325",20.69111111,-32.48508333
"HTR_326",20.72452778,-32.48761111
"HTR_327",20.80811111,-32.49913889
"HTR_329",20.84294444,-32.50911111
"HTR_33",19.19013889,-31.54361111
"HTR_33_ak",19.77672222,-31.41116667
"HTR_330",20.85775,-32.50986111
"HTR_331",20.87677778,-32.51052778
"HTR_332",20.92033333,-32.51783333
"HTR_333",20.93202778,-32.52127778
"HTR_334",21.09502778,-32.52861111
"HTR_335",21.14511111,-32.52894444
"HTR_336",20.64425,-32.53216667
"HTR_337",20.73877778,-32.5935
"HTR_338",20.75827778,-32.63658333
"HTR_339",20.76238889,-32.67136111
"HTR_34",19.17572222,-31.59725
"HTR_34_ak",19.77627778,-31.41163889
"HTR_340",20.76941667,-32.68444444
"HTR_341",20.77825,-32.69894444
"HTR_342",20.78688889,-32.7105
"HTR_343",20.85730556,-32.70013889
"HTR_344",20.74358333,-32.72347222
"HTR_345",20.69872222,-32.81644444
"HTR_347",20.33580556,-32.76716667
"HTR_348",20.29544444,-32.78147222
"HTR_349",20.24869444,-32.78066667
"HTR_35",19.15630556,-31.83263889
"HTR_35_ak",19.77061111,-31.40933333
"HTR_350",20.02888889,-32.82783333
"HTR_352",19.969,-32.87608333
"HTR_353",19.92519444,-32.94713889
"HTR_354",19.88508333,-33.00761111
"HTR_36",19.18263889,-31.85583333
"HTR_36_ak",19.77561111,-31.41191667
"HTR_362",20.01988889,-31.98755556
"HTR_363",20.02397222,-31.97761111
"HTR_364",20.02633333,-31.9305
"HTR_365",20.02894444,-31.92222222
"HTR_366",19.84858333,-31.33497222
"HTR_367",19.83055556,-31.33705556
"HTR_368",19.80619444,-31.34602778
"HTR_369",19.78163889,-31.38569444
"HTR_37",19.18797222,-31.86041667
"HTR_37_ak",19.77825,-31.41536111
"HTR_370",19.79563889,-31.35775
"HTR_371",19.81577778,-31.33988889
"HTR_372",20.56291667,-32.55772222
"HTR_373",20.02725,-31.43580556
"HTR_376",20.01238889,-31.45652778
"HTR_377",19.02330556,-32.012
"HTR_378",19.01391667,-31.99933333
"HTR_379",18.9775,-31.95602778
"HTR_38",19.19597222,-31.86991667
"HTR_38_ak",19.77819444,-31.41491667
"HTR_380",18.95336111,-31.94555556
"HTR_381",19.24905556,-32.14094444
"HTR_384",18.92544444,-31.72838889
"HTR_386",19.62147222,-32.32738889
"HTR_39",19.19105556,-31.88480556
"HTR_39_ak",19.77894444,-31.41522222
"HTR_390",18.58872222,-30.91644444
"HTR_4",19.24866667,-31.495
"HTR_4_ak",19.77680556,-31.445
"HTR_4_nieu",19.04072,-31.27538
"HTR_40",19.18655556,-31.89472222
"HTR_40_ak",19.78263889,-31.4245
"HTR_41",19.20255556,-31.90847222
"HTR_41_ak",19.76713889,-31.45127778
"HTR_42",19.20441667,-31.93983333
"HTR_42_ak",19.76758333,-31.45075
"HTR_43",19.17886111,-32.051
"HTR_43_ak",19.76077778,-31.44527778
"HTR_44",19.22108333,-32.01863889
"HTR_44_ak",19.75627778,-31.44286111
"HTR_45",19.22833333,-32.00669444
"HTR_45_ak",19.75616667,-31.442
"HTR_46",19.22783333,-31.99894444
"HTR_46_ak",19.75769444,-31.44266667
"HTR_47",19.23961111,-31.94319444
"HTR_47_ak",19.75902778,-31.443
"HTR_48",19.27263889,-31.88052778
"HTR_48_ak",19.7595,-31.44305556
"HTR_49",19.2715,-31.8505
"HTR_49_ak",19.76011111,-31.44311111
"HTR_5",19.47972222,-31.48455556
"HTR_5_ak",19.77569444,-31.451
"HTR_5_nieu",19.04989,-31.27247
"HTR_50",19.28622222,-31.78011111
"HTR_50_ak",19.77541667,-31.42680556
"HTR_51",19.30280556,-31.71975
"HTR_51_ak",19.77547222,-31.42666667
"HTR_52",19.2895,-31.70286111
"HTR_52_ak",19.77325,-31.42519444
"HTR_53",19.246,-31.63588889
"HTR_53_ak",19.77311111,-31.42522222
"HTR_54",19.37202778,-31.55213889
"HTR_54_ak",19.77122222,-31.42597222
"HTR_55",19.51188889,-31.30133333
"HTR_55_ak",19.77233333,-31.42663889
"HTR_56",19.52661111,-31.24852778
"HTR_56_ak",19.78097222,-31.41447222
"HTR_57",19.58055556,-31.21269444
"HTR_57_ak",19.78275,-31.41461111
"HTR_58",19.598,-31.20655556
"HTR_58_ak",19.78344444,-31.41466667
"HTR_59",19.63783333,-31.18211111
"HTR_59_ak",19.78363889,-31.41369444
"HTR_6",19.47680556,-31.45755556
"HTR_6_ak",19.77672222,-31.44961111
"HTR_6_nieu",19.07369,-31.4326
"HTR_60",19.65544444,-31.16361111
"HTR_60_ak",19.78355556,-31.41263889
"HTR_61_ak",19.78283333,-31.41302778
"HTR_62",19.78094444,-31.135
"HTR_62_ak",19.76241667,-31.43525
"HTR_63",19.80852778,-31.12238889
"HTR_63_ak",19.75852778,-31.43519444
"HTR_64",19.83933333,-31.12519444
"HTR_64_ak",19.75511111,-31.43541667
"HTR_65",19.86266667,-31.13055556
"HTR_65_ak",19.75288889,-31.43563889
"HTR_66",19.87708333,-31.146
"HTR_66_ak",19.75077778,-31.43722222
"HTR_67",19.81141667,-31.21919444
"HTR_67_ak",19.74925,-31.43808333
"HTR_68",19.74702778,-31.27430556
"HTR_68_ak",19.74763889,-31.43813889
"HTR_69",19.74344444,-31.49730556
